Order Date	Order ID	Quantity	Customer Name	Segment	Product Name	Category	Manufacturer	City	State	Region	Ship Date	Ship Mode	Discount	Profit	Profit Ratio	Sales
1/3/2015	CA-2015-100006	3	Dennis Kane	Consumer	AT&T EL51110 DECT	Technology	AT&T	New York City	New York	East	1/6/2015	Standard Class	0.00%	$110.00	29.00%	$378.00
1/4/2015	CA-2015-100090	6	Ed Braxton	Corporate	Wilson Jones Ledger-Size, Piano-Hinge Binder, 2", Blue	Office Supplies	Wilson Jones	San Francisco	California	West	1/9/2015	Standard Class	20.00%	$69.00	35.00%	$197.00
1/4/2015	CA-2015-100090	3	Ed Braxton	Corporate	Hon 2111 Invitation Series Corner Table	Furniture	Hon	San Francisco	California	West	1/9/2015	Standard Class	20.00%	-$88.00	-18.00%	$502.00
1/4/2015	CA-2015-100293	6	Neil Französisch	Home Office	Xerox 1887	Office Supplies	Xerox	Jacksonville	Florida	South	1/7/2015	Standard Class	20.00%	$32.00	35.00%	$91.00
1/5/2015	CA-2015-100328	1	Jasper Cacioppo	Consumer	Pressboard Covers with Storage Hooks, 9 1/2" x 11", Light Blue	Office Supplies	Pressboard	New York City	New York	East	1/15/2015	Standard Class	20.00%	$1.00	34.00%	$4.00
1/6/2015	CA-2015-100363	2	Jim Mitchum	Corporate	Binder Clips by OIC	Office Supplies	OIC	Glendale	Arizona	West	1/11/2015	Standard Class	20.00%	$1.00	35.00%	$2.00
1/6/2015	CA-2015-100363	3	Jim Mitchum	Corporate	Things To Do Today Spiral Book	Office Supplies	Things To Do	Glendale	Arizona	West	1/11/2015	Standard Class	20.00%	$7.00	36.00%	$19.00
1/6/2015	CA-2015-100391	2	Barry Weirich	Consumer	Strathmore Photo Frame Cards	Office Supplies	Strathmore	New York City	New York	East	1/9/2015	Standard Class	0.00%	$7.00	46.00%	$15.00
1/6/2015	CA-2015-100678	2	Kunst Miller	Consumer	Prang Dustless Chalk Sticks	Office Supplies	Prang	Houston	Texas	Central	1/13/2015	Standard Class	20.00%	$1.00	38.00%	$3.00
1/6/2015	CA-2015-100678	3	Kunst Miller	Consumer	Cameo Buff Policy Envelopes	Office Supplies	Other	Houston	Texas	Central	1/13/2015	Standard Class	20.00%	$50.00	34.00%	$149.00
1/6/2015	CA-2015-100678	3	Kunst Miller	Consumer	Kensington Expert Mouse Optical USB Trackball for PC or Mac	Technology	Kensington	Houston	Texas	Central	1/13/2015	Standard Class	20.00%	$28.00	13.00%	$228.00
1/6/2015	CA-2015-100678	3	Kunst Miller	Consumer	DMI Arturo Collection Mission-style Design Wood Chair	Furniture	DMI	Houston	Texas	Central	1/13/2015	Standard Class	30.00%	-$18.00	-6.00%	$317.00
1/6/2015	CA-2015-100706	6	Laurel Elliston	Consumer	Ultra Door Push Plate	Furniture	Ultra	Springfield	Virginia	South	1/16/2015	Second Class	0.00%	$10.00	33.00%	$29.00
1/6/2015	CA-2015-100706	2	Laurel Elliston	Consumer	Case Logic 2.4GHz Wireless Keyboard	Technology	Other	Springfield	Virginia	South	1/16/2015	Second Class	0.00%	$8.00	8.00%	$100.00
1/7/2015	CA-2015-100762	2	Nat Gilpin	Corporate	Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book	Office Supplies	Adams	Jackson	Michigan	Central	1/16/2015	Standard Class	0.00%	$8.00	50.00%	$16.00
1/7/2015	CA-2015-100762	3	Nat Gilpin	Corporate	Xerox 1885	Office Supplies	Xerox	Jackson	Michigan	Central	1/16/2015	Standard Class	0.00%	$69.00	48.00%	$144.00
1/9/2015	CA-2015-100762	4	Nat Gilpin	Corporate	Hunt PowerHouse Electric Pencil Sharpener, Blue	Office Supplies	Hunt	Jackson	Michigan	Central	1/16/2015	Standard Class	0.00%	$46.00	30.00%	$152.00
1/9/2015	CA-2015-100762	2	Nat Gilpin	Corporate	Dot Matrix Printer Tape Reel Labels, White, 5000/Box	Office Supplies	Other	Jackson	Michigan	Central	1/16/2015	Standard Class	0.00%	$96.00	49.00%	$197.00
1/10/2015	CA-2015-100860	5	Cindy Stewart	Consumer	Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set	Office Supplies	Smead	Pomona	California	West	1/15/2015	Second Class	0.00%	$9.00	48.00%	$19.00
1/10/2015	CA-2015-100867	6	Eugene Hildebrand	Home Office	RCA Visys Integrated PBX 8-Line Router	Technology	RCA	Lakewood	California	West	1/15/2015	Standard Class	20.00%	$20.00	6.00%	$322.00
1/11/2015	CA-2015-100881	3	Daniel Raglin	Home Office	AT&T TR1909W	Technology	AT&T	Albuquerque	New Mexico	West	1/23/2015	Standard Class	20.00%	$23.00	8.00%	$302.00
1/13/2015	CA-2015-100895	2	Stewart Visinsky	Consumer	Sanford Colorific Scented Colored Pencils, 12/Pack	Office Supplies	Sanford	Roswell	Georgia	South	1/22/2015	Standard Class	0.00%	$3.00	31.00%	$9.00
1/13/2015	CA-2015-100895	3	Stewart Visinsky	Consumer	Mophie Juice Pack Helium for iPhone	Technology	Other	Roswell	Georgia	South	1/22/2015	Standard Class	0.00%	$67.00	28.00%	$240.00
1/13/2015	CA-2015-100895	2	Stewart Visinsky	Consumer	Hot File 7-Pocket, Floor Stand	Office Supplies	Other	Roswell	Georgia	South	1/22/2015	Standard Class	0.00%	$107.00	30.00%	$357.00
1/13/2015	CA-2015-100916	1	Frank Hawley	Corporate	SANFORD Liquid Accent Tank-Style Highlighters	Office Supplies	Sanford	Newport News	Virginia	South	1/18/2015	Standard Class	0.00%	$1.00	31.00%	$3.00
1/13/2015	CA-2015-100916	5	Frank Hawley	Corporate	Eldon Base for stackable storage shelf, platinum	Office Supplies	Eldon	Newport News	Virginia	South	1/18/2015	Standard Class	0.00%	$10.00	5.00%	$195.00
1/13/2015	CA-2015-100916	4	Frank Hawley	Corporate	Hon 2111 Invitation Series Straight Table	Furniture	Hon	Newport News	Virginia	South	1/18/2015	Standard Class	0.00%	$112.00	19.00%	$591.00
1/13/2015	CA-2015-100972	3	Dennis Bolton	Home Office	Xerox 1888	Office Supplies	Xerox	Salt Lake City	Utah	West	1/16/2015	Second Class	0.00%	$80.00	48.00%	$166.00
1/13/2015	CA-2015-101147	1	Matt Collins	Consumer	Staple holder	Office Supplies	Staple holder	Chicago	Illinois	Central	1/19/2015	First Class	80.00%	-$6.00	-265.00%	$2.00
1/13/2015	CA-2015-101175	6	Dario Medina	Corporate	Acco Perma 3000 Stacking Storage Drawers	Office Supplies	Acco	Mesa	Arizona	West	1/15/2015	Standard Class	20.00%	-$1.00	-1.00%	$101.00
1/13/2015	CA-2015-101266	2	Michael Moore	Consumer	Xerox 1898	Office Supplies	Xerox	Springfield	Virginia	South	1/14/2015	Second Class	0.00%	$6.00	48.00%	$13.00
1/13/2015	CA-2015-101364	13	Tamara Willingham	Home Office	Lock-Up Easel 'Spel-Binder'	Office Supplies	Other	New York City	New York	East	1/21/2015	Standard Class	20.00%	$100.00	34.00%	$297.00
1/14/2015	CA-2015-101392	7	Ann Steele	Home Office	Advantus Rolling Drawer Organizers	Office Supplies	Advantus	Seattle	Washington	West	1/24/2015	Standard Class	0.00%	$70.00	26.00%	$269.00
1/15/2015	CA-2015-101427	3	Andy Yotov	Corporate	Eldon Spacemaker Box, Quick-Snap Lid, Clear	Office Supplies	Eldon	Philadelphia	Pennsylvania	East	1/18/2015	Standard Class	20.00%	$1.00	14.00%	$8.00
1/16/2015	CA-2015-101462	4	Benjamin Patterson	Consumer	GE 4 Foot Flourescent Tube, 40 Watt	Furniture	GE	Los Angeles	California	West	1/20/2015	Standard Class	0.00%	$28.00	46.00%	$60.00
1/16/2015	CA-2015-101476	1	Shirley Daniels	Home Office	Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner	Technology	Epson	New Rochelle	New York	East	1/19/2015	First Class	0.00%	$30.00	43.00%	$70.00
1/16/2015	CA-2015-101560	4	Chris Selesnick	Corporate	Crayola Colored Pencils	Office Supplies	Crayola	Columbia	South Carolina	South	1/28/2015	Second Class	0.00%	$4.00	33.00%	$13.00
1/16/2015	CA-2015-101560	3	Chris Selesnick	Corporate	GBC Twin Loop Wire Binding Elements, 9/16" Spine, Black	Office Supplies	GBC	Columbia	South Carolina	South	1/28/2015	Second Class	0.00%	$22.00	49.00%	$46.00
